name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Blackwater,1311.2434134223263,96,1325.975544652042,Meralco,1581.756705772143,93,1567.0245745424274
TNT,1627.1370989007564,108,1629.680496374424,Rain or Shine,1466.5348266238793,107,1463.9914291502118
Terrafirma,1247.8271845403137,107,1267.5407615927943,Converge,1430.7842126491478,99,1411.0706355966672
NorthPort,1444.8186959535385,100,1436.71103062386,NLEX,1510.9937740150108,107,1519.1014393446892
Blackwater,1325.975544652042,87,1356.9474981340495,TNT,1629.680496374424,76,1598.7085428924163
Rain or Shine,1463.9914291502118,117,1458.7924978011908,Meralco,1567.0245745424274,121,1572.2235058914484
NLEX,1519.1014393446892,95,1503.0736818470077,Terrafirma,1267.5407615927943,99,1283.5685190904758
Converge,1411.0706355966672,104,1400.7688483030265,NorthPort,1436.71103062386,112,1447.0128179175008
Blackwater,1356.9474981340495,90,1373.9124059618714,Converge,1400.7688483030265,78,1383.8039404752046
Meralco,1572.2235058914484,96,1563.3728252516905,NLEX,1503.0736818470077,99,1511.9243624867656
NorthPort,1447.0128179175008,124,1455.1515206638448,Phoenix,1454.9839862842548,120,1446.8452835379107
Ginebra,1584.4710034217082,113,1590.2085053856117,Rain or Shine,1458.7924978011908,107,1453.0549958372874
TNT,1598.7085428924163,100,1600.2728861892126,Terrafirma,1283.5685190904758,97,1282.0041757936795
NLEX,1511.9243624867656,115,1524.7710283787628,Converge,1383.8039404752046,93,1370.9572745832074
Meralco,1563.3728252516905,85,1550.8359533667697,NorthPort,1455.1515206638448,90,1467.6883925487657
Phoenix,1446.8452835379107,92,1439.7547933274532,Ginebra,1590.2085053856117,102,1597.2989955960693
Blackwater,1373.9124059618714,97,1368.8135751495383,NLEX,1524.7710283787628,103,1529.8698591910959
Terrafirma,1282.0041757936795,78,1273.0352544948505,Phoenix,1439.7547933274532,94,1448.7237146262821
Rain or Shine,1453.0549958372874,97,1448.0606366853165,San Miguel,1689.4118908380974,109,1694.4062499900683
Ginebra,1597.2989955960693,73,1574.8972628716663,Meralco,1550.8359533667697,91,1573.2376860911727
Blackwater,1368.8135751495383,91,1361.8706390712775,Terrafirma,1273.0352544948505,92,1279.9781905731113
Converge,1370.9572745832074,75,1362.052522983464,Magnolia,1621.7538088983779,106,1630.6585604981212
Phoenix,1448.7237146262821,85,1431.8533197425093,Rain or Shine,1448.0606366853165,100,1464.9310315690893
San Miguel,1694.4062499900683,91,1698.5374556807628,TNT,1600.2728861892126,89,1596.141680498518
Phoenix,1431.8533197425093,102,1427.156375681013,San Miguel,1698.5374556807628,116,1703.234399742259
Magnolia,1630.6585604981212,77,1614.9203833024937,Ginebra,1574.8972628716663,87,1590.6354400672938
Meralco,1573.2376860911727,86,1575.0039424028728,Terrafirma,1279.9781905731113,83,1278.2119342614112
Rain or Shine,1464.9310315690893,110,1478.4056511594856,Converge,1362.052522983464,90,1348.5779033930678
TNT,1596.141680498518,96,1569.6273155399754,NorthPort,1467.6883925487657,112,1494.2027575073084
Ginebra,1590.6354400672938,92,1586.2324866583015,San Miguel,1703.234399742259,95,1707.6373531512513
Blackwater,1361.8706390712775,103,1355.3620884078205,Rain or Shine,1478.4056511594856,110,1484.9142018229427
NLEX,1529.8698591910959,87,1550.2485493422455,Magnolia,1614.9203833024937,74,1594.5416931513441
Meralco,1575.0039424028728,90,1568.8441567967675,TNT,1569.6273155399754,92,1575.7871011460807
Terrafirma,1278.2119342614112,91,1300.1414042054414,Ginebra,1586.2324866583015,85,1564.3030167142713
San Miguel,1707.6373531512513,113,1708.558640964613,Terrafirma,1300.1414042054414,110,1299.2201163920797
Magnolia,1594.5416931513441,104,1601.5405563559298,NorthPort,1494.2027575073084,97,1487.2038943027228
Converge,1348.5779033930678,107,1341.5061276780539,Phoenix,1427.156375681013,113,1434.228151396027
Ginebra,1564.3030167142713,105,1572.1241913420351,Blackwater,1355.3620884078205,86,1347.5409137800566
Rain or Shine,1484.9142018229427,116,1491.3881373812753,Terrafirma,1299.2201163920797,104,1292.746180833747
TNT,1575.7871011460807,104,1582.1329652604122,NLEX,1550.2485493422455,101,1543.902685227914
Phoenix,1434.228151396027,93,1426.3940639762093,Magnolia,1601.5405563559298,107,1609.3746437757475
NorthPort,1487.2038943027228,88,1479.7168991830695,Ginebra,1572.1241913420351,95,1579.6111864616885
Rain or Shine,1491.3881373812753,115,1510.9928637728458,NorthPort,1479.7168991830695,95,1460.112172791499
Magnolia,1609.3746437757475,81,1611.745350094347,Blackwater,1347.5409137800566,77,1345.170207461457
Converge,1341.5061276780539,103,1339.477428329865,San Miguel,1708.558640964613,112,1710.5873403128019
Ginebra,1579.6111864616885,87,1587.590122911926,TNT,1582.1329652604122,83,1574.1540288101746
Phoenix,1426.3940639762093,112,1471.171218017568,NLEX,1543.902685227914,77,1499.1255311865552
Rain or Shine,1510.9928637728458,102,1504.5715183694938,Magnolia,1611.745350094347,108,1618.166695497699
Meralco,1568.8441567967675,99,1551.838271134838,Converge,1339.477428329865,104,1356.4833139917946
San Miguel,1710.5873403128019,120,1717.112089492322,NorthPort,1460.112172791499,100,1453.587423611979
NorthPort,1453.587423611979,108,1443.6578424846723,Terrafirma,1292.746180833747,110,1302.6757619610537
TNT,1574.1540288101746,108,1581.0712689280958,Phoenix,1471.171218017568,101,1464.2539778996468
Phoenix,1464.2539778996468,76,1457.4510537037365,Meralco,1551.838271134838,82,1558.6411953307481
Magnolia,1618.166695497699,91,1611.1245634454287,San Miguel,1717.112089492322,98,1724.1542215445922
Blackwater,1345.170207461457,113,1341.117380068221,NorthPort,1443.6578424846723,115,1447.7106698779082
Converge,1356.4833139917946,93,1351.3496217292643,Ginebra,1587.590122911926,105,1592.7238151744564
Meralco,1558.6411953307481,74,1585.750836299598,Magnolia,1611.1245634454287,51,1584.014922476579
San Miguel,1724.1542215445922,120,1730.8244456855064,NLEX,1499.1255311865552,103,1492.4553070456411
Blackwater,1341.117380068221,109,1338.6560105848607,San Miguel,1730.8244456855064,124,1733.2858151688667
TNT,1581.0712689280958,103,1565.7764759152249,Converge,1351.3496217292643,107,1366.6444147421353
Magnolia,1584.014922476579,108,1587.077090111677,Terrafirma,1302.6757619610537,100,1299.6135943259555
NLEX,1492.4553070456411,104,1475.6574838703198,Rain or Shine,1504.5715183694938,120,1521.3693415448151
Blackwater,1338.6560105848607,102,1367.6790369756638,Phoenix,1457.4510537037365,83,1428.4280273129334
San Miguel,1733.2858151688667,92,1722.1863769289894,Meralco,1585.750836299598,95,1596.8502745394753
Magnolia,1587.077090111677,93,1577.579898461563,TNT,1565.7764759152249,98,1575.2736675653389
Ginebra,1592.7238151744564,72,1581.1689347558365,NLEX,1475.6574838703198,76,1487.2123642889396
